match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country,home_elo,away_elo,elo_diff,home_ucl_experience,home_smoothed_gf,home_smoothed_ga,away_ucl_experience,away_smoothed_gf,away_smoothed_ga,home_league_tier,away_league_tier,league_tier_diff
451656,2023-11-28 17:45:00+00:00,GROUP_STAGE,FK Shakhtar Donetsk,Royal Antwerp FC,1,0,2,Ukraine,Belgium,1366.7480980454811,1358.1248188926743,8.623279152806845,4,1.5781464217164793,1.7210035645736224,4,1.1495749931450507,2.721003564573622,1.0,2.0,-1.0
451612,2023-11-28 20:00:00+00:00,GROUP_STAGE,Feyenoord Rotterdam,Club Atlético de Madrid,1,3,0,Netherlands,Spain,1463.1844780337167,1744.6213182322088,-281.43684019849206,4,1.7210035645736224,1.4352892788593365,4,2.4352892788593365,1.4352892788593365,3.0,4.0,-1.0
451621,2023-11-28 20:00:00+00:00,GROUP_STAGE,AC Milan,Borussia Dortmund,1,3,0,Italy,Germany,1516.398700899537,1744.5100074931154,-228.11130659357832,4,1.006717850287908,1.2924321360021938,4,1.1495749931450507,1.006717850287908,4.0,4.0,0.0
451632,2023-11-28 20:00:00+00:00,GROUP_STAGE,Paris Saint-Germain FC,Newcastle United FC,1,1,1,France,England,1770.4745343182556,1518.616757289092,251.85777702916357,4,1.7210035645736224,1.5781464217164793,4,1.2924321360021938,1.2924321360021938,3.0,4.0,-1.0
451633,2023-11-28 20:00:00+00:00,GROUP_STAGE,BSC Young Boys,FK Crvena Zvezda,2,0,2,Switzerland,Serbia,1338.008173109515,1333.3617457695282,4.646427339986758,4,1.2924321360021938,2.2924321360021938,4,1.4352892788593365,2.149574993145051,1.0,1.0,0.0
451643,2023-11-28 20:00:00+00:00,GROUP_STAGE,Manchester City FC,RB Leipzig,3,2,2,England,Germany,1859.356548662416,1519.273532458541,340.0830162038749,4,2.4352892788593365,1.1495749931450507,4,2.006717850287908,1.5781464217164793,4.0,4.0,0.0
451645,2023-11-28 20:00:00+00:00,GROUP_STAGE,FC Barcelona,FC Porto,2,1,2,Spain,Portugal,1741.8101694381708,1483.3169136236738,258.49325581449693,4,1.8638607074307652,1.006717850287908,4,2.006717850287908,1.1495749931450507,4.0,3.0,1.0
451571,2023-11-29 17:45:00+00:00,GROUP_STAGE,Galatasaray SK,Manchester United FC,3,3,1,Turkey,England,1407.1875968114618,1476.4702669088945,-69.28267009743263,4,1.7210035645736224,2.006717850287908,4,2.006717850287908,2.2924321360021938,2.0,4.0,-2.0
451582,2023-11-29 17:45:00+00:00,GROUP_STAGE,Sevilla FC,PSV,2,3,0,Spain,Netherlands,1487.9683150547467,1456.266686035762,31.701629018984704,4,1.2924321360021938,1.7210035645736224,4,1.2924321360021938,1.7210035645736224,4.0,3.0,1.0
451561,2023-11-29 20:00:00+00:00,GROUP_STAGE,FC Bayern München,FC København,0,0,1,Germany,Denmark,1857.2495889069348,1359.0925473727089,498.157041534226,4,2.2924321360021938,1.5781464217164793,4,1.7210035645736224,1.8638607074307652,4.0,1.0,3.0
451575,2023-11-29 20:00:00+00:00,GROUP_STAGE,Arsenal FC,Racing Club de Lens,6,0,2,England,France,1747.7272189543535,1458.037779955138,289.68943899921555,4,2.006717850287908,1.1495749931450507,4,1.2924321360021938,1.2924321360021938,4.0,3.0,1.0
451604,2023-11-29 20:00:00+00:00,GROUP_STAGE,Real Sociedad de Fútbol,FC Red Bull Salzburg,0,0,1,Spain,Austria,1534.371322768875,1355.7233304768026,178.64799229207233,4,1.7210035645736224,1.006717850287908,4,1.1495749931450507,1.4352892788593365,4.0,1.0,3.0
451593,2023-11-29 20:00:00+00:00,GROUP_STAGE,Real Madrid CF,SSC Napoli,4,2,2,Spain,Italy,1859.876699678564,1515.3809816024975,344.4957180760664,4,2.006717850287908,1.1495749931450507,4,1.5781464217164793,1.4352892788593365,4.0,4.0,0.0
451602,2023-11-29 20:00:00+00:00,GROUP_STAGE,Sport Lisboa e Benfica,FC Internazionale Milano,3,3,1,Portugal,Italy,1410.856308797421,1799.0490379569014,-388.19272915948045,4,0.863860707430765,1.7210035645736224,4,1.4352892788593365,1.006717850287908,3.0,4.0,-1.0
451588,2023-11-29 20:00:00+00:00,GROUP_STAGE,Sporting Clube de Braga,1. FC Union Berlin,1,1,1,Portugal,Germany,1448.268445129221,1476.4738735897174,-28.205428460496478,4,1.4352892788593365,2.006717850287908,4,1.1495749931450507,1.5781464217164793,3.0,4.0,-1.0
