match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country
524029,2024-09-19 16:45:00+00:00,LEAGUE_STAGE,FK Crvena Zvezda,Sport Lisboa e Benfica,1,2,0,Serbia,Portugal
524040,2024-09-19 19:00:00+00:00,LEAGUE_STAGE,AS Monaco FC,FC Barcelona,2,1,2,Monaco,Spain
524067,2024-09-19 19:00:00+00:00,LEAGUE_STAGE,Stade Brestois 29,SK Sturm Graz,2,1,2,France,Austria
523973,2024-09-19 19:00:00+00:00,LEAGUE_STAGE,Atalanta BC,Arsenal FC,0,0,1,Italy,England
523976,2024-09-19 19:00:00+00:00,LEAGUE_STAGE,Club Atlético de Madrid,RB Leipzig,2,1,2,Spain,Germany
524075,2024-10-01 16:45:00+00:00,LEAGUE_STAGE,VfB Stuttgart,AC Sparta Praha,1,1,1,Germany,Czech Republic
524027,2024-10-01 16:45:00+00:00,LEAGUE_STAGE,FC Red Bull Salzburg,Stade Brestois 29,0,4,0,Austria,France
524022,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,PSV,Sporting Clube de Portugal,1,1,1,Netherlands,Portugal
523992,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,Arsenal FC,Paris Saint-Germain FC,2,0,2,England,France
523981,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,Bayer 04 Leverkusen,AC Milan,1,0,2,Germany,Italy
523938,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,Borussia Dortmund,Celtic FC,7,1,2,Germany,Scotland
523942,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,FC Barcelona,BSC Young Boys,5,0,2,Spain,Switzerland
524056,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,ŠK Slovan Bratislava,Manchester City FC,0,4,0,Slovakia,England
523950,2024-10-01 19:00:00+00:00,LEAGUE_STAGE,FC Internazionale Milano,FK Crvena Zvezda,4,0,2,Italy,Serbia
524054,2024-10-02 16:45:00+00:00,LEAGUE_STAGE,Girona FC,Feyenoord Rotterdam,2,3,0,Spain,Netherlands
524001,2024-10-02 16:45:00+00:00,LEAGUE_STAGE,FK Shakhtar Donetsk,Atalanta BC,0,3,0,Ukraine,Italy
524016,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,Lille OSC,Real Madrid CF,1,0,2,France,Spain
524069,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,SK Sturm Graz,Club Brugge KV,0,1,0,Austria,Belgium
523947,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,Liverpool FC,Bologna FC 1909,2,0,2,England,Italy
523961,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,RB Leipzig,Juventus FC,2,3,0,Germany,Italy
523985,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,Sport Lisboa e Benfica,Club Atlético de Madrid,4,0,2,Portugal,Spain
524011,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,GNK Dinamo Zagreb,AS Monaco FC,2,2,1,Croatia,Monaco
524044,2024-10-02 19:00:00+00:00,LEAGUE_STAGE,Aston Villa FC,FC Bayern München,1,0,2,England,Germany
523969,2024-10-22 16:45:00+00:00,LEAGUE_STAGE,AC Milan,Club Brugge KV,3,1,2,Italy,Belgium
524042,2024-10-22 16:45:00+00:00,LEAGUE_STAGE,AS Monaco FC,FK Crvena Zvezda,5,1,2,Monaco,Serbia
